原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_17,COL_18,COL_19,COL_20,COL_21,COL_22,COL_23,COL_24,COL_25,COL_26,COL_27,COL_28,COL_29,COL_30,COL_31,COL_32,COL_33,COL_34,COL_35,COL_36,COL_37,COL_38,COL_39,COL_40,COL_41,COL_42,COL_43,COL_44,COL_45,COL_46,COL_47,COL_48,COL_49,COL_50,COL_51,COL_52,COL_53,COL_54,COL_55,COL_56,COL_57,COL_58,COL_59,COL_60,COL_61,COL_62,COL_63,COL_64,COL_65,COL_66,COL_67,COL_68,COL_69,COL_70,COL_71,COL_72,COL_73,COL_74,COL_75,COL_76,COL_77,COL_78,COL_79,COL_80,COL_81,COL_82,COL_83,COL_84,COL_85,COL_86,COL_87,COL_88,COL_89,COL_90,COL_91,COL_92,COL_93,COL_94,COL_95
有終完美,有終美完,有完終美,有完美終,有美終完,有美完終,終有完美,終有美完,終完有美,終完美有,終美有完,終美完有,完有終美,完有美終,完終有美,完終美有,完美有終,完美終有,美有終完,美有完終,美終有完,美終完有,美完有終,美完終有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有名無実,有名実無,有無名実,有無実名,有実名無,有実無名,名有無実,名有実無,名無有実,名無実有,名実有無,名実無有,無有名実,無有実名,無名有実,無名実有,無実有名,無実名有,実有名無,実有無名,実名有無,実名無有,実無有名,実無名有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腕力無双,腕力双無,腕無力双,腕無双力,腕双力無,腕双無力,力腕無双,力腕双無,力無腕双,力無双腕,力双腕無,力双無腕,無腕力双,無腕双力,無力腕双,無力双腕,無双腕力,無双力腕,双腕力無,双腕無力,双力腕無,双力無腕,双無腕力,双無力腕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲外蒼天,雲外天蒼,雲蒼外天,雲蒼天外,雲天外蒼,雲天蒼外,外雲蒼天,外雲天蒼,外蒼雲天,外蒼天雲,外天雲蒼,外天蒼雲,蒼雲外天,蒼雲天外,蒼外雲天,蒼外天雲,蒼天雲外,蒼天外雲,天雲外蒼,天雲蒼外,天外雲蒼,天外蒼雲,天蒼雲外,天蒼外雲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲散霧消,雲散消霧,雲霧散消,雲霧消散,雲消散霧,雲消霧散,散雲霧消,散雲消霧,散霧雲消,散霧消雲,散消雲霧,散消霧雲,霧雲散消,霧雲消散,霧散雲消,霧散消雲,霧消雲散,霧消散雲,消雲散霧,消雲霧散,消散雲霧,消散霧雲,消霧雲散,消霧散雲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栄枯転変,栄枯変転,栄転枯変,栄転変枯,栄変枯転,栄変転枯,枯栄転変,枯栄変転,枯転栄変,枯転変栄,枯変栄転,枯変転栄,転栄枯変,転栄変枯,転枯栄変,転枯変栄,転変栄枯,転変枯栄,変栄枯転,変栄転枯,変枯栄転,変枯転栄,変転栄枯,変転枯栄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栄耀栄華,栄耀華栄,栄栄耀華,栄栄華耀,栄華耀栄,栄華栄耀,耀栄栄華,耀栄華栄,耀栄栄華,耀栄華栄,耀華栄栄,耀華栄栄,栄栄耀華,栄栄華耀,栄耀栄華,栄耀華栄,栄華栄耀,栄華耀栄,華栄耀栄,華栄栄耀,華耀栄栄,華耀栄栄,華栄栄耀,華栄耀栄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英雄豪傑,英雄傑豪,英豪雄傑,英豪傑雄,英傑雄豪,英傑豪雄,雄英豪傑,雄英傑豪,雄豪英傑,雄豪傑英,雄傑英豪,雄傑豪英,豪英雄傑,豪英傑雄,豪雄英傑,豪雄傑英,豪傑英雄,豪傑雄英,傑英雄豪,傑英豪雄,傑雄英豪,傑雄豪英,傑豪英雄,傑豪雄英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縁起担担,縁起担担,縁担起担,縁担担起,縁担起担,縁担担起,起縁担担,起縁担担,起担縁担,起担担縁,起担縁担,起担担縁,担縁起担,担縁担起,担起縁担,担起担縁,担担縁起,担担起縁,担縁起担,担縁担起,担起縁担,担起担縁,担担縁起,担担起縁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遠慮会釈,遠慮釈会,遠会慮釈,遠会釈慮,遠釈慮会,遠釈会慮,慮遠会釈,慮遠釈会,慮会遠釈,慮会釈遠,慮釈遠会,慮釈会遠,会遠慮釈,会遠釈慮,会慮遠釈,会慮釈遠,会釈遠慮,会釈慮遠,釈遠慮会,釈遠会慮,釈慮遠会,釈慮会遠,釈会遠慮,釈会慮遠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温厚篤実,温厚実篤,温篤厚実,温篤実厚,温実厚篤,温実篤厚,厚温篤実,厚温実篤,厚篤温実,厚篤実温,厚実温篤,厚実篤温,篤温厚実,篤温実厚,篤厚温実,篤厚実温,篤実温厚,篤実厚温,実温厚篤,実温篤厚,実厚温篤,実厚篤温,実篤温厚,実篤厚温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温良恭倹,温良倹恭,温恭良倹,温恭倹良,温倹良恭,温倹恭良,良温恭倹,良温倹恭,良恭温倹,良恭倹温,良倹温恭,良倹恭温,恭温良倹,恭温倹良,恭良温倹,恭良倹温,恭倹温良,恭倹良温,倹温良恭,倹温恭良,倹良温恭,倹良恭温,倹恭温良,倹恭良温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臥薪嘗胆,臥薪胆嘗,臥嘗薪胆,臥嘗胆薪,臥胆薪嘗,臥胆嘗薪,薪臥嘗胆,薪臥胆嘗,薪嘗臥胆,薪嘗胆臥,薪胆臥嘗,薪胆嘗臥,嘗臥薪胆,嘗臥胆薪,嘗薪臥胆,嘗薪胆臥,嘗胆臥薪,嘗胆薪臥,胆臥薪嘗,胆臥嘗薪,胆薪臥嘗,胆薪嘗臥,胆嘗臥薪,胆嘗薪臥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我田引水,我田水引,我引田水,我引水田,我水田引,我水引田,田我引水,田我水引,田引我水,田引水我,田水我引,田水引我,引我田水,引我水田,引田我水,引田水我,引水我田,引水田我,水我田引,水我引田,水田我引,水田引我,水引我田,水引田我,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快刀乱麻,快刀麻乱,快乱刀麻,快乱麻刀,快麻刀乱,快麻乱刀,刀快乱麻,刀快麻乱,刀乱快麻,刀乱麻快,刀麻快乱,刀麻乱快,乱快刀麻,乱快麻刀,乱刀快麻,乱刀麻快,乱麻快刀,乱麻刀快,麻快刀乱,麻快乱刀,麻刀快乱,麻刀乱快,麻乱快刀,麻乱刀快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回山倒海,回山海倒,回倒山海,回倒海山,回海山倒,回海倒山,山回倒海,山回海倒,山倒回海,山倒海回,山海回倒,山海倒回,倒回山海,倒回海山,倒山回海,倒山海回,倒海回山,倒海山回,海回山倒,海回倒山,海山回倒,海山倒回,海倒回山,海倒山回,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海千山千,海千千山,海山千千,海山千千,海千千山,海千山千,千海山千,千海千山,千山海千,千山千海,千千海山,千千山海,山海千千,山海千千,山千海千,山千千海,山千海千,山千千海,千海千山,千海山千,千千海山,千千山海,千山海千,千山千海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
開口一番,開口番一,開一口番,開一番口,開番口一,開番一口,口開一番,口開番一,口一開番,口一番開,口番開一,口番一開,一開口番,一開番口,一口開番,一口番開,一番開口,一番口開,番開口一,番開一口,番口開一,番口一開,番一開口,番一口開,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格物致知,格物知致,格致物知,格致知物,格知物致,格知致物,物格致知,物格知致,物致格知,物致知格,物知格致,物知致格,致格物知,致格知物,致物格知,致物知格,致知格物,致知物格,知格物致,知格致物,知物格致,知物致格,知致格物,知致物格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活殺自在,活殺在自,活自殺在,活自在殺,活在殺自,活在自殺,殺活自在,殺活在自,殺自活在,殺自在活,殺在活自,殺在自活,自活殺在,自活在殺,自殺活在,自殺在活,自在活殺,自在殺活,在活殺自,在活自殺,在殺活自,在殺自活,在自活殺,在自殺活,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乾坤一擲,乾坤擲一,乾一坤擲,乾一擲坤,乾擲坤一,乾擲一坤,坤乾一擲,坤乾擲一,坤一乾擲,坤一擲乾,坤擲乾一,坤擲一乾,一乾坤擲,一乾擲坤,一坤乾擲,一坤擲乾,一擲乾坤,一擲坤乾,擲乾坤一,擲乾一坤,擲坤乾一,擲坤一乾,擲一乾坤,擲一坤乾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感慨無量,感慨量無,感無慨量,感無量慨,感量慨無,感量無慨,慨感無量,慨感量無,慨無感量,慨無量感,慨量感無,慨量無感,無感慨量,無感量慨,無慨感量,無慨量感,無量感慨,無量慨感,量感慨無,量感無慨,量慨感無,量慨無感,量無感慨,量無慨感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘言蜜語,甘言語蜜,甘蜜言語,甘蜜語言,甘語言蜜,甘語蜜言,言甘蜜語,言甘語蜜,言蜜甘語,言蜜語甘,言語甘蜜,言語蜜甘,蜜甘言語,蜜甘語言,蜜言甘語,蜜言語甘,蜜語甘言,蜜語言甘,語甘言蜜,語甘蜜言,語言甘蜜,語言蜜甘,語蜜甘言,語蜜言甘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
換骨奪胎,換骨胎奪,換奪骨胎,換奪胎骨,換胎骨奪,換胎奪骨,骨換奪胎,骨換胎奪,骨奪換胎,骨奪胎換,骨胎換奪,骨胎奪換,奪換骨胎,奪換胎骨,奪骨換胎,奪骨胎換,奪胎換骨,奪胎骨換,胎換骨奪,胎換奪骨,胎骨換奪,胎骨奪換,胎奪換骨,胎奪骨換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危急存亡,危急亡存,危存急亡,危存亡急,危亡急存,危亡存急,急危存亡,急危亡存,急存危亡,急存亡危,急亡危存,急亡存危,存危急亡,存危亡急,存急危亡,存急亡危,存亡危急,存亡急危,亡危急存,亡危存急,亡急危存,亡急存危,亡存危急,亡存急危,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇想天外,奇想外天,奇天想外,奇天外想,奇外想天,奇外天想,想奇天外,想奇外天,想天奇外,想天外奇,想外奇天,想外天奇,天奇想外,天奇外想,天想奇外,天想外奇,天外奇想,天外想奇,外奇想天,外奇天想,外想奇天,外想天奇,外天奇想,外天想奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起承転結,起承結転,起転承結,起転結承,起結承転,起結転承,承起転結,承起結転,承転起結,承転結起,承結起転,承結転起,転起承結,転起結承,転承起結,転承結起,転結起承,転結承起,結起承転,結起転承,結承起転,結承転起,結転起承,結転承起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喜色満面,喜色面満,喜満色面,喜満面色,喜面色満,喜面満色,色喜満面,色喜面満,色満喜面,色満面喜,色面喜満,色面満喜,満喜色面,満喜面色,満色喜面,満色面喜,満面喜色,満面色喜,面喜色満,面喜満色,面色喜満,面色満喜,面満喜色,面満色喜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
騎虎之勢,騎虎勢之,騎之虎勢,騎之勢虎,騎勢虎之,騎勢之虎,虎騎之勢,虎騎勢之,虎之騎勢,虎之勢騎,虎勢騎之,虎勢之騎,之騎虎勢,之騎勢虎,之虎騎勢,之虎勢騎,之勢騎虎,之勢虎騎,勢騎虎之,勢騎之虎,勢虎騎之,勢虎之騎,勢之騎虎,勢之虎騎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急所一撃,急所撃一,急一所撃,急一撃所,急撃所一,急撃一所,所急一撃,所急撃一,所一急撃,所一撃急,所撃急一,所撃一急,一急所撃,一急撃所,一所急撃,一所撃急,一撃急所,一撃所急,撃急所一,撃急一所,撃所急一,撃所一急,撃一急所,撃一所急,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挙国一致,挙国致一,挙一国致,挙一致国,挙致国一,挙致一国,国挙一致,国挙致一,国一挙致,国一致挙,国致挙一,国致一挙,一挙国致,一挙致国,一国挙致,一国致挙,一致挙国,一致国挙,致挙国一,致挙一国,致国挙一,致国一挙,致一挙国,致一国挙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虚心坦懐,虚心懐坦,虚坦心懐,虚坦懐心,虚懐心坦,虚懐坦心,心虚坦懐,心虚懐坦,心坦虚懐,心坦懐虚,心懐虚坦,心懐坦虚,坦虚心懐,坦虚懐心,坦心虚懐,坦心懐虚,坦懐虚心,坦懐心虚,懐虚心坦,懐虚坦心,懐心虚坦,懐心坦虚,懐坦虚心,懐坦心虚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
共存同栄,共存栄同,共同存栄,共同栄存,共栄存同,共栄同存,存共同栄,存共栄同,存同共栄,存同栄共,存栄共同,存栄同共,同共存栄,同共栄存,同存共栄,同存栄共,同栄共存,同栄存共,栄共存同,栄共同存,栄存共同,栄存同共,栄同共存,栄同存共,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
局外中立,局外立中,局中外立,局中立外,局立外中,局立中外,外局中立,外局立中,外中局立,外中立局,外立局中,外立中局,中局外立,中局立外,中外局立,中外立局,中立局外,中立外局,立局外中,立局中外,立外局中,立外中局,立中局外,立中外局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉石混交,玉石交混,玉混石交,玉混交石,玉交石混,玉交混石,石玉混交,石玉交混,石混玉交,石混交玉,石交玉混,石交混玉,混玉石交,混玉交石,混石玉交,混石交玉,混交玉石,混交石玉,交玉石混,交玉混石,交石玉混,交石混玉,交混玉石,交混石玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勤労感謝,勤労謝感,勤感労謝,勤感謝労,勤謝労感,勤謝感労,労勤感謝,労勤謝感,労感勤謝,労感謝勤,労謝勤感,労謝感勤,感勤労謝,感勤謝労,感労勤謝,感労謝勤,感謝勤労,感謝労勤,謝勤労感,謝勤感労,謝労勤感,謝労感勤,謝感勤労,謝感労勤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金科玉条,金科条玉,金玉科条,金玉条科,金条科玉,金条玉科,科金玉条,科金条玉,科玉金条,科玉条金,科条金玉,科条玉金,玉金科条,玉金条科,玉科金条,玉科条金,玉条金科,玉条科金,条金科玉,条金玉科,条科金玉,条科玉金,条玉金科,条玉科金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金城鉄壁,金城壁鉄,金鉄城壁,金鉄壁城,金壁城鉄,金壁鉄城,城金鉄壁,城金壁鉄,城鉄金壁,城鉄壁金,城壁金鉄,城壁鉄金,鉄金城壁,鉄金壁城,鉄城金壁,鉄城壁金,鉄壁金城,鉄壁城金,壁金城鉄,壁金鉄城,壁城金鉄,壁城鉄金,壁鉄金城,壁鉄城金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九牛一毛,九牛毛一,九一牛毛,九一毛牛,九毛牛一,九毛一牛,牛九一毛,牛九毛一,牛一九毛,牛一毛九,牛毛九一,牛毛一九,一九牛毛,一九毛牛,一牛九毛,一牛毛九,一毛九牛,一毛牛九,毛九牛一,毛九一牛,毛牛九一,毛牛一九,毛一九牛,毛一牛九,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空前絶後,空前後絶,空絶前後,空絶後前,空後前絶,空後絶前,前空絶後,前空後絶,前絶空後,前絶後空,前後空絶,前後絶空,絶空前後,絶空後前,絶前空後,絶前後空,絶後空前,絶後前空,後空前絶,後空絶前,後前空絶,後前絶空,後絶空前,後絶前空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空理空論,空理論空,空空理論,空空論理,空論理空,空論空理,理空空論,理空論空,理空空論,理空論空,理論空空,理論空空,空空理論,空空論理,空理空論,空理論空,空論空理,空論理空,論空理空,論空空理,論理空空,論理空空,論空空理,論空理空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兄弟姉妹,兄弟妹姉,兄姉弟妹,兄姉妹弟,兄妹弟姉,兄妹姉弟,弟兄姉妹,弟兄妹姉,弟姉兄妹,弟姉妹兄,弟妹兄姉,弟妹姉兄,姉兄弟妹,姉兄妹弟,姉弟兄妹,姉弟妹兄,姉妹兄弟,姉妹弟兄,妹兄弟姉,妹兄姉弟,妹弟兄姉,妹弟姉兄,妹姉兄弟,妹姉弟兄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
経世済民,経世民済,経済世民,経済民世,経民世済,経民済世,世経済民,世経民済,世済経民,世済民経,世民経済,世民済経,済経世民,済経民世,済世経民,済世民経,済民経世,済民世経,民経世済,民経済世,民世経済,民世済経,民済経世,民済世経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏口牛後,鶏口後牛,鶏牛口後,鶏牛後口,鶏後口牛,鶏後牛口,口鶏牛後,口鶏後牛,口牛鶏後,口牛後鶏,口後鶏牛,口後牛鶏,牛鶏口後,牛鶏後口,牛口鶏後,牛口後鶏,牛後鶏口,牛後口鶏,後鶏口牛,後鶏牛口,後口鶏牛,後口牛鶏,後牛鶏口,後牛口鶏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
激励叱咤,激励咤叱,激叱励咤,激叱咤励,激咤励叱,激咤叱励,励激叱咤,励激咤叱,励叱激咤,励叱咤激,励咤激叱,励咤叱激,叱激励咤,叱激咤励,叱励激咤,叱励咤激,叱咤激励,叱咤励激,咤激励叱,咤激叱励,咤励激叱,咤励叱激,咤叱激励,咤叱励激,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月下氷人,月下人氷,月氷下人,月氷人下,月人下氷,月人氷下,下月氷人,下月人氷,下氷月人,下氷人月,下人月氷,下人氷月,氷月下人,氷月人下,氷下月人,氷下人月,氷人月下,氷人下月,人月下氷,人月氷下,人下月氷,人下氷月,人氷月下,人氷下月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堅如磐石,堅如石磐,堅磐如石,堅磐石如,堅石如磐,堅石磐如,如堅磐石,如堅石磐,如磐堅石,如磐石堅,如石堅磐,如石磐堅,磐堅如石,磐堅石如,磐如堅石,磐如石堅,磐石堅如,磐石如堅,石堅如磐,石堅磐如,石如堅磐,石如磐堅,石磐堅如,石磐如堅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肩身狭小,肩身小狭,肩狭身小,肩狭小身,肩小身狭,肩小狭身,身肩狭小,身肩小狭,身狭肩小,身狭小肩,身小肩狭,身小狭肩,狭肩身小,狭肩小身,狭身肩小,狭身小肩,狭小肩身,狭小身肩,小肩身狭,小肩狭身,小身肩狭,小身狭肩,小狭肩身,小狭身肩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建前本音,建前音本,建本前音,建本音前,建音前本,建音本前,前建本音,前建音本,前本建音,前本音建,前音建本,前音本建,本建前音,本建音前,本前建音,本前音建,本音建前,本音前建,音建前本,音建本前,音前建本,音前本建,音本建前,音本前建,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虚実皮膜,虚実膜皮,虚皮実膜,虚皮膜実,虚膜実皮,虚膜皮実,実虚皮膜,実虚膜皮,実皮虚膜,実皮膜虚,実膜虚皮,実膜皮虚,皮虚実膜,皮虚膜実,皮実虚膜,皮実膜虚,皮膜虚実,皮膜実虚,膜虚実皮,膜虚皮実,膜実虚皮,膜実皮虚,膜皮虚実,膜皮実虚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
言行一致,言行致一,言一行致,言一致行,言致行一,言致一行,行言一致,行言致一,行一言致,行一致言,行致言一,行致一言,一言行致,一言致行,一行言致,一行致言,一致言行,一致行言,致言行一,致言一行,致行言一,致行一言,致一言行,致一行言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厳正中立,厳正立中,厳中正立,厳中立正,厳立正中,厳立中正,正厳中立,正厳立中,正中厳立,正中立厳,正立厳中,正立中厳,中厳正立,中厳立正,中正厳立,中正立厳,中立厳正,中立正厳,立厳正中,立厳中正,立正厳中,立正中厳,立中厳正,立中正厳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
